id,sentence,label
"claim-1937,evidence-639822","Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.[SEP]The MATC is used to set regulatory standards for priority pollutants under the US federal Clean Water Act.",0
"claim-1937,evidence-113137","Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.[SEP]It is currently unclear if this contamination is affecting human health, but if the water is also found to contain nano-particle pollutants, there could be adverse impacts on human well-being, according to scientists associated with the study.",0
"claim-1937,evidence-1025241","Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.[SEP]Factorial simulations with multiple global ecosystem models suggest that CO2 fertilization effects explain 70% of the observed greening trend"" -Nature Climate Change volume 6, pages 791–795 (2016).",0
"claim-126,evidence-965497","El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.[SEP]It covers the localised plummeting emissions associated with the collapse of the Soviet Union and what the book says is Russia's excess amount of Carbon Credits which, the book argues, will be purchased by European nations to offset their rising emissions.",0
"claim-126,evidence-368145","El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.[SEP]If all the ice on the polar ice caps were to melt away, the oceans of the world would rise an estimated .",0
"claim-126,evidence-1143670","El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.[SEP]By 2012 GHG emissions were projected to increase to more than 7,709 million tonnes of carbon dioxide equivalent, which would be 26% above 1990 levels.",0
"claim-126,evidence-325821",El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.[SEP]Note that the actual increase in the global surface temperature during the 100 years ending in 2005 was 0.74 ± 0.18 °C.,0
"claim-2510,evidence-418013","In 1946, PDO switched to a cool phase.[SEP]The system of five phases was used for describing interactions and relationships between phenomena.",0
"claim-2510,evidence-42241","In 1946, PDO switched to a cool phase.[SEP]The study was conducted near the halfway point of the phaseout, 9plants having been shut and a further 8 still in operation.",0
"claim-2510,evidence-1181454","In 1946, PDO switched to a cool phase.[SEP]One goal in 2006 was to look at a period of around 3 to 5 million years ago in the Pliocene, which scientists know to be warmer.",0
"claim-2021,evidence-1175949",Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.[SEP]Watson had a role in either the regulation efforts of Ozone depletion and global warming.,0
"claim-2021,evidence-433622","Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.[SEP]In a synthesis report published in Science in 2015, 22 leading marine scientists stated that CO 2 from burning fossil fuels is changing the oceans' chemistry more rapidly than at any time since the Great Dying, Earth's most severe known extinction event, emphasizing that the 2 °C maximum temperature increase agreed upon by governments reflects too small a cut in emissions to prevent ""dramatic impacts"" on the world's oceans, with lead author Jean-Pierre Gattuso remarking that ""The ocean has been minimally considered at previous climate negotiations.",0
"claim-2021,evidence-518734","Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.[SEP]According to Rahn, the authors ""provide overwhelming evidence"" that warming would occur with or without mankind increasing CO2 emissions or doing anything else.",0
"claim-2021,evidence-685490",Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.[SEP]These voluntary steps are seen by some as a new model where countries pledge to voluntarily take action against global warming outside of international treaties or obligations to other parties.,0
"claim-2021,evidence-903081","Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.[SEP]Porritt has stated that population growth is a serious threat to the global environment and that family planning, including both birth control and abortion, is a part of the answer to global warming.",0
"claim-2021,evidence-1015425","Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.[SEP]Becoming concerned about global warming, he resigned from Imperial College to become a climate campaigner with Greenpeace International (1989 – 1996).",0
"claim-2021,evidence-285053","Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.[SEP]Legal action for instance has been taken to try to force the US Environmental Protection Agency to regulate greenhouse gas emissions under the Clean Air Act, and against the Export-Import Bank and OPIC for failing to assess environmental impacts (including global warming impacts) under NEPA.",0
"claim-2449,evidence-1028378","""January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.[SEP]According to the United Nations Environment Programme, between 2014 and 2016 the longest recorded global bleaching events killed coral on an unprecedented scale.",0
"claim-2449,evidence-367858","""January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.[SEP]As a result, temperatures there peak in July if it is a warm summer.",0
"claim-2449,evidence-684718","""January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.[SEP]The US average for a gallon of 87 octane regular unleaded averaged $3.00/gallon on December 23, sparking fear of a second recession if prices reached $100/barrel and $4.00/gallon gasoline, as forecasted for spring 2011.",0
"claim-2449,evidence-927052","""January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.[SEP]Rajendra Pachauri, chairman of the IPCC, said the necessary investment in renewables would cost only about 1% of global GDP annually.",0
"claim-2449,evidence-396628","""January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.[SEP]How many really ""reject or doubt"" the scientific consensus for man-made global warming?",0
"claim-2449,evidence-346733","""January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.[SEP]In December 2009, carbon prices dropped to a six-month low after the Copenhagen climate summit outcome disappointed traders.",0
